"","country_name","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"106","Nepal","0.07","0.09","0.1","0.11","0.09","0.1","0.09","0.1","0.09","0.09","0.1","0.14","0.17","0.19","0.22","0.23","0.27","0.25","0.37","0.4","0.42"
"107","Netherlands","4.98","4.95","5.06","5.3","5.42","5.59","5.78","5.73","5.7","5.85","6.01","5.96","6.46","6.17","6.17","6.24","6.09","6.48","6.66","6.62","6.6"
"108","New Zealand","0.84","0.9","0.96","1.03","1.05","1.1","1.11","1.16","1.19","1.18","1.23","1.16","1.18","1.18","1.27","1.3","1.36","1.38","1.38","1.49","1.48"
"109","Nicaragua","0.1","0.1","0.11","0.12","0.12","0.13","0.14","0.14","0.15","0.15","0.15","0.15","0.16","0.17","0.17","0.17","0.18","0.21","0.24","0.25","0.25"
"110","Niger","0.03","0.03","0.02","0.02","0.02","0.02","0.03","0.03","0.03","0.03","0.03","0.04","0.05","0.05","0.07","0.07","0.08","0.08","0.08","0.09","0.09"
"111","Nigeria","2.53","2.54","2.87","3.09","2.86","3.23","3.18","3.2","2.93","2.74","2.99","2.69","3.17","3.4","3.61","3.63","3.52","3.71","4.05","4.29","4.5"
"112","Norway","1.27","1.34","1.23","1.27","1.27","1.38","1.42","1.4","1.44","1.51","1.55","1.53","1.63","1.61","1.62","1.62","1.67","1.76","1.78","1.99","2.05"
"113","Oman","0.55","0.63","0.73","0.83","0.91","0.97","0.98","1.05","1.36","1.5","1.51","1.64","1.83","2.16","2.4","2.57","2.78","3.02","3.12","3.24","3.47"
"114","Pakistan","2.69","3","3.09","3.23","3.31","3.49","3.98","4.12","4.57","5.18","5.13","5.32","5.24","5.4","5.52","5.69","6.13","6.45","6.86","7.55","7.98"
"115","Panama","0.16","0.14","0.15","0.18","0.16","0.17","0.17","0.23","0.24","0.24","0.24","0.3","0.33","0.36","0.39","0.4","0.43","0.44","0.44","0.45","0.48"
"116","Papua New Guinea","0.07","0.06","0.06","0.07","0.09","0.1","0.11","0.14","0.14","0.13","0.13","0.11","0.11","0.13","0.18","0.22","0.16","0.14","0.15","0.15","0.16"
"117","Paraguay","0.12","0.13","0.11","0.11","0.12","0.13","0.13","0.12","0.13","0.14","0.15","0.16","0.18","0.19","0.2","0.2","0.22","0.24","0.28","0.29","0.31"
"118","Peru","0.75","0.82","0.83","0.78","0.83","0.83","0.98","1","1.01","1.12","1.3","1.42","1.57","1.71","1.76","1.83","1.98","2.06","2.27","2.17","2.33"
"119","Philippines","2.14","2.13","2.19","2.17","2.25","2.36","2.43","2.58","2.37","2.61","2.7","2.77","3.06","3.11","3.35","3.78","4.18","4.58","5.05","5.72","6.01"
"120","Poland","9.21","9.13","8.96","9.04","9.02","9.57","9.84","10.01","10.64","10.83","10.86","10.61","11.44","11.57","11.52","11.58","11.35","11.69","12.4","13.06","13.58"
"121","Portugal","1.61","1.83","1.85","1.87","2.03","1.92","2.01","2.15","2.04","2.02","2","2.01","1.86","1.84","1.82","1.8","1.82","2.01","2.03","2.25","2.14"
"122","Puerto Rico","0.06","0.06","0.06","0.06","0.06","0.07","0.07","0.07","0.07","0.07","0.08","0.07","0.06","0.06","0.09","0.1","0.1","0.11","0.12","0.12","0.13"
"123","Qatar","NA","NA","0.91","0.94","1.08","1.16","1.27","1.36","1.56","1.77","1.96","2.14","2.42","2.71","2.99","3.36","3.63","3.75","3.9","4.14","4.19"
"124","Romania","2.99","2.61","2.78","3.01","3.06","3.29","3.29","3.3","3.5","3.49","3.5","2.91","2.88","3.16","3.14","2.9","2.95","3.04","3.05","3.23","3.26"
"125","Russian Federation","41.97","44.11","45.89","46.93","47.35","49.68","50.83","51.3","54","54.97","56.2","53.45","57.97","62.07","63.65","63.06","63.72","65.02","66.01","67.35","71.11"
"126","Rwanda","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.03","0.03","0.03","0.03","0.03","0.03","0.04","0.04","0.04","0.05"
"127","Saudi Arabia","6.78","7.07","7.58","8.03","8.69","9.26","9.98","10.73","11.6","12.48","13.84","14.92","16.65","17.73","19.33","20.15","21.93","23.36","24.16","25.2","25.42"
"128","Senegal","0.1","0.11","0.12","0.13","0.14","0.14","0.16","0.18","0.18","0.21","0.22","0.23","0.25","0.27","0.27","0.29","0.3","0.32","0.37","0.41","0.44"
"129","Serbia","1.65","1.19","1.46","1.6","1.74","1.88","2.06","1.94","2.06","2.05","2.07","1.98","2.08","2.28","2.07","2.14","1.85","2.19","2.29","2.36","2.4"
"130","Seychelles","0.01","0.01","0.01","0.01","0.02","0.02","0.02","0.02","0.03","0.03","0.03","0.04","0.03","0.04","0.04","0.03","0.03","0.03","0.04","0.04","0.04"
"131","Sierra Leone","0.02","0.02","0.02","0.02","0.02","0.03","0.03","0.02","0.02","0.02","0.02","0.02","0.03","0.03","0.03","0.04","0.04","0.05","0.05","0.06","0.06"
"132","Singapore","1.12","1.16","1.3","1.32","1.33","1.28","1.37","1.36","1.42","1.49","1.53","1.6","1.78","1.91","1.92","1.98","1.97","1.97","2.05","2.21","2.27"
"133","Slovakia","1.24","1.25","1.21","1.23","1.24","1.28","1.29","1.33","1.34","1.34","1.37","1.26","1.38","1.35","1.32","1.35","1.28","1.33","1.38","1.51","1.55"
"134","Slovenia","0.46","0.45","0.45","0.51","0.53","0.54","0.56","0.58","0.6","0.61","0.66","0.6","0.62","0.6","0.59","0.58","0.54","0.55","0.6","0.62","0.63"
"135","Solomon Islands","0","0","0","0.01","0","0","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0","0","0","0.01","0.01"
"136","South Africa","9.8","9.53","9.9","10.38","10.99","11.91","13.1","13.69","14.09","14.99","16.28","15.52","16.19","15.83","16.71","17.46","18.22","18.32","18.89","18.85","19.41"
"137","South Korea","10.72","11.95","13.87","14.55","14.71","15.11","16.02","16.32","16.86","17.53","18.21","18.82","20.82","22.29","22.81","23.1","23.39","24.51","25.46","26.94","28.28"
"138","Spain","7.64","8.42","9.05","9.23","9.95","10.36","11.08","11.78","11.71","12.37","11.56","10.42","10.16","10.43","10.45","9.65","9.8","10.55","10.31","11.26","11.23"
"139","Sri Lanka","0.25","0.28","0.33","0.33","0.35","0.39","0.41","0.46","0.42","0.47","0.45","0.44","0.48","0.57","0.64","0.56","0.69","0.82","0.91","0.99","0.97"
"140","Suriname","0.02","0.02","0.04","0.04","0.03","0.04","0.04","0.05","0.05","0.05","0.05","0.05","0.06","0.06","0.07","0.07","0.08","0.08","0.08","0.09","0.09"
"141","Sweden","1.75","1.75","1.67","1.71","1.78","1.84","1.83","1.77","1.78","1.74","1.71","1.62","1.86","1.74","1.66","1.62","1.66","1.7","1.76","1.8","1.81"
"142","Switzerland","1.25","1.29","1.29","1.36","1.33","1.4","1.44","1.49","1.51","1.47","1.55","1.53","1.62","1.5","1.58","1.65","1.53","1.54","1.62","1.68","1.67"
"143","Tajikistan","0.09","0.09","0.08","0.08","0.08","0.09","0.11","0.1","0.11","0.14","0.13","0.11","0.11","0.11","0.14","0.12","0.19","0.21","0.22","0.22","0.24"
"144","Tanzania","0.08","0.07","0.09","0.1","0.11","0.12","0.16","0.19","0.2","0.2","0.21","0.2","0.25","0.32","0.4","0.42","0.43","0.49","0.48","0.52","0.55"
